Substance variant,R1-substituent,R2-substituent,R3-substituent,L-fragment,R4-substituent,"Relative cytokinin activity, %",R1_type,R2_type,R3_type,R4_type,L-fragment_type,Cytokinin activity Type
1,H,H,H,NHCH2,C6H5,100.0,1,1,1,1,1,3
2,H,H,Cl,NHCH2,C6H5,95.0,1,1,5,1,1,3
3,H,H,F,NHCH2,C6H5,134.0,1,1,5,1,1,3
4,H,H,Cl,NHCH2,3-C6H4,144.0,1,1,5,3,1,3
5,H,H,NH2,NHCH2,C6H5,52.0,1,1,3,1,1,2
6,H,H,H,OCH2,C6H5,64.0,1,1,1,1,5,2
7,H,H,H,SCH2,C6H5,20.0,1,1,1,1,5,1
8,H,H,NH2,OCH2,C6H5,6.1,1,1,3,1,5,1
9,H,H,NH2,O(CH2)2,C6H5,10.0,1,1,3,1,5,1
10,H,H,NH2,O(CH2)3,C6H5,5.6,1,1,3,1,5,1
11,H,H,H,NH,C6H5,107.0,1,1,1,1,5,3
12,H,H,H,NH(CH2)2,C6H5,51.0,1,1,1,1,5,2
13,H,H,H,NH(CH2)3,C6H5,56.0,1,1,1,1,5,2
14,H,H,H,NH(CH2)4,C6H5,19.0,1,1,1,1,5,1
15,H,H,Cl,NHCH2,3-С4H3O,119.0,1,1,5,3,1,3
16,H,H,Cl,NHCHCH3,C6H5,81.0,1,1,5,1,5,3
17,H,H,H,NHCO,C6H5,17.0,1,1,1,1,5,1
18,H,H,H,NHCH2,2-C10H7,13.4,1,1,1,3,1,1
19,H,H,H,NHCH2,C6H5CH2,44.0,1,1,1,2,1,2
20,H,H,H,NHCH2,C2H3,42.9,1,1,1,3,1,2
21,H,H,H,R-NHCHCH3,C6H5,71.0,1,1,1,1,2,2
22,H,H,F,R-NHCHCH3,C6H5,103.0,1,1,5,1,2,3
23,H,H,Cl,R-NHCHCH3,C6H5,65.0,1,1,5,1,2,2
24,H,H,NH2,R-NHCHCH3,C6H5,19.0,1,1,3,1,2,1
25,H,H,H,S-NHCHCH3,C6H5,107.6,1,1,1,1,3,3
26,H,H,F,S-NHCHCH3,C6H5,122.3,1,1,5,1,3,3
27,H,H,Cl,S-NHCHCH3,C6H5,115.5,1,1,5,1,3,3
28,H,H,NH2,S-NHCHCH3,C6H5,79.5,1,1,3,1,3,3
29,H,O,H,NHCH2,C6H5,4.3,1,2,1,1,1,1
30,H,S,H,NHCH2,C6H5,2.4,1,2,1,1,1,1
31,H,S,H,NHCH2,C6H5,44.0,1,2,1,1,1,2
32,H,H,H,NHCH2,3-CF3-C6H4,61.2,1,1,1,3,1,2
33,H,H,H,NHCH2,4-Cl-C6H4,47.3,1,1,1,3,1,2
34,H,H,Br,R-NHCHCH3,C6H5,54.0,1,1,5,1,2,2
35,H,H,Br,S-NHCHCH3,C6H5,101.0,1,1,5,1,3,3
36,H,H,Br,R-NHCHCH3,C6H5CH2,47.0,1,1,5,2,2,2
37,H,H,Br,S-NHCHCH3,C6H5CH2,87.0,1,1,5,2,3,3
38,H,H,OH,R-NHCHCH3,C6H5,104.0,1,1,2,1,2,3
39,H,H,OH,S-NHCHCH3,C6H5,132.4,1,1,2,1,3,3
40,H,H,OH,R-NHCHCH3,C6H5CH2,75.6,1,1,2,2,2,2
41,H,H,OH,S-NHCHCH3,C6H5CH2,91.1,1,1,2,2,3,3
42,H,H,OH,NHCH2,C6H5,140.9,1,1,2,1,1,3
43,H,H,OH,NHCH2CH2,C6H5,126.7,1,1,2,1,4,3
44,H,H,SH,NHCH2,C6H5,65.0,1,1,4,1,1,2
45,H,H,SH,NHCH2CH2,C6H5,54.0,1,1,4,1,4,2
46,H,O,NH2,NHCH2,C6H5,12.0,1,2,3,1,1,1
47,H,O,OH,NHCH2,C6H5,17.5,1,2,2,1,1,1
48,H,O,SH,NHCH2,C6H5,7.3,1,2,4,1,1,1
49,H,S,NH2,NHCH2,C6H5,9.0,1,2,3,1,1,1
50,H,S,SH,NHCH2,C6H5,4.2,1,2,4,1,1,1
51,H,S,OH,NHCH2,C6H5,14.9,1,2,2,1,1,1
52,CH3,H,H,NHCH2,C6H5,7.0,3,1,1,1,1,1
53,CH3,O,H,NHCH2,C6H5,8.1,3,2,1,1,1,1
54,CH3,H,SH,NHCH2,C6H5,12.0,3,1,4,1,1,1
